Agency,AgencyFull,Sector,SubSector,Activity,Sub Activity ,Sub Activity 2,Province,District,Type_of_Location,Status,StartDate,EndDate,Inside3RP,Total,Region,P_Code,P_Code_District,AgencyFull
Mercy Corps ,Mercy Corps ,Protection,Protection,Awareness raising / information dissemination,Information campaigns or public events,,Gaziantep,Sahinbey,Host Community,Ongoing,,,No,1,SE,TR27,TR2701841,Mercy Corps 
Mercy Corps ,Mercy Corps ,Protection,Protection,"Community-based protection, safe spaces and community centres",Stationary,Community multi-service / multi-functional centres,Gaziantep,Sahinbey,Host Community,Ongoing,,,No,1,SE,TR27,TR2701841,Mercy Corps 
Mercy Corps ,Mercy Corps ,Protection,Protection,"Community-based protection, strengthening community and family support (including social cohesion) ","Social, recreational or creative activities",,Gaziantep,Sahinbey,Host Community,Ongoing,,,No,1,SE,TR27,TR2701841,Mercy Corps 
Mercy Corps ,Mercy Corps ,Protection,Protection,Psychosocial support (PSS)  and psychological interventions,"Basic counselling where the counsellor has received professional training (may be individual, family or in groups) (not specific to identified SGBV survivors)",,Gaziantep,Sahinbey,Host Community,Ongoing,,,No,1,SE,TR27,TR2701841,Mercy Corps 
Mercy Corps ,Mercy Corps ,Protection,Protection,Training,Supporting the capacity development of service providers,,Gaziantep,Sahinbey,Host Community,Ongoing,,,No,1,SE,TR27,TR2701841,Mercy Corps 
Mercy Corps ,Mercy Corps ,Protection,Protection,Training,Supporting the capacity development of national government officials,,Gaziantep,Sahinbey,Host Community,Completed,,,No,1,SE,TR27,TR2701841,Mercy Corps 
Relief International,Relief International,Health,"Non-Communicable Disease, MHPSS & Rehabilitation",MHPSS Services,MH Clinical management (specialized),(blank),Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,Relief International
Relief International,Relief International,Education,IFE/ NFE ,Deliver catch-up/ supplementary instruction programmes in Arabic,Provide catch-up/ supplementary instruction programmes in Arabic,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,Relief International
Relief International,Relief International,Education,IFE/ NFE ,Provide life-skills training to adolescents and youth,Provide life-skills training to adolescents and youth,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,Relief International
Relief International,Relief International,Education,Turkish lang - under 18,Provide Turkish language classes for under 18s,Provide Turkish language classes for under 18s,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,Relief International
Relief International,Relief International,Education,Outreach,Community outreach and advocacy for education,Community outreach and advocacy for education,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,Relief International
UNFPA,UNFPA,Basic Needs,Basic assistance,Access to essential goods and services,"Provision of dignity, hygiene kits or sanitary items",,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
UNFPA,UNFPA,Basic Needs,Basic assistance,Access to essential goods and services,Hygiene-awareness sessions,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
UNFPA,UNFPA,Protection,SGBV,Awareness raising / information dissemination,"Static centres sharing information with community, face to face and printed material",,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
UNFPA,UNFPA,Protection,SGBV,Awareness raising / information dissemination,"Refugee outreach volunteers sharing information with the community, face to face",,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
UNFPA,UNFPA,Protection,SGBV,Case management,Multidimension support with social worker and case management plan,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
UNFPA,UNFPA,Protection,SGBV,Case management,Service delivery and referral,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
UNFPA,UNFPA,Protection,SGBV,Psychosocial support (PSS)  and psychological interventions,"Basic counselling where the counsellor has received professional training (may be individual, family or in groups) (not specific to identified SGBV survivors)",,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
UNFPA,UNFPA,Health,Sexual and Reproductive Health,Sexual and Reproductive Health services ,Antenatal care / Postnatal care,,Gaziantep,Sahinbey,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701841,UNFPA
ASAM,ASAM,Basic Needs,Shelter,Access to adequate shelter conditions,Possible programmes for provision of shelter support in urban settings,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Shelter,Access to adequate shelter conditions,Possible programmes for provision of shelter support in urban settings,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Shelter,Access to adequate shelter conditions,Possible programmes for provision of shelter support in urban settings,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized winter assistance,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized winter assistance,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized winter assistance,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized assistance during influx and other emergency situations,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized assistance during influx and other emergency situations,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized assistance during influx and other emergency situations,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,"Provision of dignity, hygiene kits or sanitary items",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of maternity or baby kits,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Hygiene-awareness sessions,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Hygiene-awareness sessions,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Hygiene-awareness sessions,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Livelihood,Livelihood,Livelihoods support and skills development _ Increasing Educational and Livelihoods Opportunities for Urban Refugees ,,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Livelihood,Livelihood,Livelihoods support and skills development _ Increasing Educational and Livelihoods Opportunities for Urban Refugees ,,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Livelihood,Livelihood,Livelihoods support and skills development _ Increasing Educational and Livelihoods Opportunities for Urban Refugees ,,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Livelihood,Livelihood,"Improving self-reliance (counselling) and economic reliance of refugees (vocational trainings, job placement support, entrepreneurship through productive assets support / home based business grants) ",,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Livelihood,Livelihood,Vocational trainings though already establishes CC,,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,National level,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,National level,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,National level,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,Sub-national level,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,Sub-national level,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,Sub-national level,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Household visits,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Household visits,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Household visits,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Focus group discussions,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Focus group discussions,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Focus group discussions,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Key informant interviews,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Key informant interviews,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Key informant interviews,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Rapid needs assessment survey,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Rapid needs assessment survey,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,"For acute, temporary needs",Unrestricted cash,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,"For acute, temporary needs",Unrestricted cash,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,"For acute, temporary needs",Unrestricted cash,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,Restricted cash,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,Restricted cash,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,Restricted cash,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,E-voucher,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,E-voucher,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,E-voucher,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,In-kind,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,In-kind,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Assistance (cash or in-kind) with the primary objective of meeting protection needs,For ongoing needs,In-kind,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,Information campaigns or public events,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,Information campaigns or public events,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,Information campaigns or public events,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Mobile teams (no base) sharing information with community, face to face",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Mobile teams (no base) sharing information with community, face to face",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Mobile teams (no base) sharing information with community, face to face",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Mobile teams (centre based) sharing information with community, face to face",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Static centres sharing information with community, face to face and printed material",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Static centres sharing information with community, face to face and printed material",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Static centres sharing information with community, face to face and printed material",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Community-based groups sharing information with community, face to face",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Community-based groups sharing information with community, face to face",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Awareness raising / information dissemination,"Community-based groups sharing information with community, face to face",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Case management,Multidimension support with social worker and case management plan,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Case management,Multidimension support with social worker and case management plan,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Case management,Multidimension support with social worker and case management plan,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Case management,Service delivery and referral,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Case management,Service delivery and referral,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Case management,Service delivery and referral,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization","Supporting community volunteers, including refugee outreach volunteers (ROVs)",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization","Supporting community volunteers, including refugee outreach volunteers (ROVs)",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization",Supporting community-based groups ,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization",Supporting community-based groups ,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization",Supporting community-based groups ,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization",Supporting community-based protection networks,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization",Supporting community-based protection networks,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, community mobilization",Supporting community-based protection networks,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, safe spaces and community centres",Stationary,Community multi-service / multi-functional centres,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, safe spaces and community centres",Stationary,Community multi-service / multi-functional centres,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, safe spaces and community centres",Mobile,Youth-friendly spaces (ages 15-24),Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, safe spaces and community centres",Mobile,Protection offices,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, safe spaces and community centres",Mobile,Protection offices,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, safe spaces and community centres",Mobile,Protection offices,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, strengthening community and family support (including social cohesion) ","Social, recreational or creative activities",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, strengthening community and family support (including social cohesion) ","Social, recreational or creative activities",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, strengthening community and family support (including social cohesion) ","Non-income generating skill building such as life skills, literacy and language classes",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, strengthening community and family support (including social cohesion) ","Non-income generating skill building such as life skills, literacy and language classes",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, strengthening community and family support (including social cohesion) ","Peace-building, reconcillation or inter-cultural activities",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,"Community-based protection, strengthening community and family support (including social cohesion) ","Peace-building, reconcillation or inter-cultural activities",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Legal assistance,"Legal information, advice or counselling",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Legal assistance,"Legal information, advice or counselling",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Legal assistance,"Legal information, advice or counselling",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Legal assistance,"Legal intervention, representation or accompaniment",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Legal assistance,"Legal intervention, representation or accompaniment",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Legal assistance,"Legal intervention, representation or accompaniment",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Mechanisms for accountability to affected populations,Complaints box,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Mechanisms for accountability to affected populations,Complaints box,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Mechanisms for accountability to affected populations,Complaints box,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Mechanisms for accountability to affected populations,Other,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Mechanisms for accountability to affected populations,Other,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Mechanisms for accountability to affected populations,Other,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,National system strengthening (non-training),Provision of translation staff or services,Supporting national non-government institutions,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,National system strengthening (non-training),Provision of translation staff or services,Supporting national non-government institutions,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,National system strengthening (non-training),Provision of translation staff or services,Supporting national non-government institutions,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,National system strengthening (non-training),Information meetings or exchanges,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,National system strengthening (non-training),Information meetings or exchanges,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,National system strengthening (non-training),Information meetings or exchanges,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,House visits done for protection monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,House visits done for protection monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,House visits done for protection monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,Authority visits done for protection monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,Authority visits done for protection monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,Authority visits done for protection monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,Detention monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,Detention monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Protection monitoring,Detention monitoring,,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Psychosocial support (PSS)  and psychological interventions,"Psychological first aid (PFA) (provision, not training)",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Psychosocial support (PSS)  and psychological interventions,"Psychological first aid (PFA) (provision, not training)",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Psychosocial support (PSS)  and psychological interventions,"Psychological first aid (PFA) (provision, not training)",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
ASAM,ASAM,Protection,Protection,Psychosocial support (PSS)  and psychological interventions,"Basic counselling where the counsellor has received professional training (may be individual, family or in groups)",,Gaziantep,Sehitkamil,Host Community,Ongoing,,,Yes,1,SE,TR27,TR2701844,ASAM
